sha256,filename,doi,n_pages
3432d04920eb6649d15d8883e64dc7f3d54700ecd5050d09e31ae286f1d4f53d,s41467-022-35426-8.pdf,10.1038/s41467-022-35426-8,12
c9a68107074a82259fe3fd9ba9061eec3956d563532a16e435175831f266e86c,s41467-023-40912-8.pdf,10.1038/s41467-023-40912-8,12
c63193979cec7f3d44d6d989fab9f7a7ba60590b18545f9129a982e578b8dc17,s41467-025-63541-9.pdf,10.1038/s41467-025-63541-9,14
bd9811a577ff2ec3d6e9eee65c9edf954d0e5059f5470835ed4c498f4cc22a54,s41565-025-02030-y.pdf,10.1038/s41565-025-02030-y,12
bd86866b0d0ed41bd5cbaf523aa92287194f052841092df665df5380c303be01,s41929-024-01168-7.pdf,10.1038/s41929-024-01168-7,13
