author_first_author;year;title;journal;doi;url_pdf;topic_short_code;notes
Frisch, Marvin;2022;ALD-Coated Mesoporous Iridium-Titanium Mixed Oxides: Maximizing Iridium Utilization for an Outstanding OER Performance;Advanced materials interfaces;10.1002/admi.202102035;;ALD Ir-Ti;
Huang, Peng;2024;Preparation of Ir/TiO2 Composite Oxygen Evolution Catalyst and Load Analysis as Anode Catalyst Layer of Proton Exchange Membrane Water Electrolyzer;ACS omega;10.1021/acsomega.4c02299;;Ir/TiO2 loading;
Shi, Yan;2018;Fabrication of IrO2 decorated vertical aligned self-doped TiO2 nanotube arrays for oxygen evolution in water electrolysis;International Journal of Hydrogen Energy;10.1016/j.ijhydene.2018.03.214;;TiO2 nanotubes;
Lv, Hong;2019;Synthesis and activities of IrO2/Ti1?xWxO2 electrocatalyst for oxygen evolution in solid polymer electrolyte water electrolyzer;Journal of Electroanalytical Chemistry;10.1016/j.jelechem.2018.12.008;;Ir on Ti1-x-WxO2;
Bizzotto, Francesco;2019;Ir nanoparticles with ultrahigh dispersion as oxygen evolution reaction (OER) catalysts: synthesis and activity benchmarking;Catalysis Science \& Technology;10.1039/C9CY01728C;;Ir nanoparticles;
