paper_id,title,first_author,year,journal,doi,relevance_to_RQ
P01,Iridium single atoms incorporated in Co3O4 efficiently catalyze the oxygen evolution in acidic conditions,Zhu,2022,Nature Communications,10.1038/s41467-022-35426-8,Single-atom Ir on Co3O4 support; addresses Ir loading and overpotential at 10 mA/cm2
P02,Nano-metal diborides-supported anode catalyst with strongly coupled TaOx/IrO2 catalytic layer for low-iridium-loading proton exchange membrane electrolyzer,Wang,2023,Nature Communications,10.1038/s41467-023-40912-8,TaB2-supported IrO2; directly addresses support chemistry and low Ir loading for PEM
P03,Support-tuned iridium reconstruction with crystalline phase dominating acidic oxygen evolution,Zhang,2025,Nature Communications,10.1038/s41467-025-63541-9,TiOx@Ti support for Ir; addresses support chemistry and durability via phase reconstruction
P04,Low-iridium stabilized ruthenium oxide anode catalyst for durable proton-exchange membrane water electrolysis,Qiu,2025,Nature Nanotechnology,10.1038/s41565-025-02030-y,RuIrOx with low Ir:Ru ratio; addresses Ir loading reduction and long-term durability
P05,Unravelling the effects of active site density and energetics on the water oxidation activity of iridium oxides,Liang,2024,Nature Catalysis,10.1038/s41929-024-01168-7,Amorphous IrOx vs crystalline IrO2; addresses activity-stability trade-off and reaction mechanism
