entrytype,key,author,title,journal ,year,volume,number,pages,publisher,doi
article ,Belami,"Belami, Debora; Lindley, Matthew; Jonnalagadda, Umesh S; Bullock, Annie Mae Goncalves; Fan, Qianwenhao; Liu, Wen; Haigh, Sarah J; Kwan, James; Regmi, Yagya N; King, Laurie A",Active and highly durable supported catalysts for proton exchange membrane electrolysers,Royal Society of Chemistry,2024,2,5,1139-1551,EES Catalysis,DOI: 10.1039/d4ey00026a
article ,,"Tran, Hoang Phi; Nong, Hong Nhan; Zlatar, Matej; Yoon, Aram; Hejral, Uta; Rüscher, Martina; Timoshenko, Janis; Selve, Sören; Berger, Dirk; Kroschel, Matthias and others",Reactivity and Stability of Reduced Ir-Weight TiO2-Supported Oxygen Evolution Catalysts for Proton Exchange Membrane (PEM) Water Electrolyzer Anodes,Journal of the American Chemical Society,2024,146,46,31444–31455,ACS Publications,https://doi.org/10.1021/jacs.4c07002
article ,,"Hoffmeister, Darius; Finger, Selina; Pokhrel, Ramesh; Körner, Andreas; Fritsch, Birk; Thiele, Simon; Hutzler, Andreas; van Pham, Chuyen",Structural optimization of TiO2 supported IrO2 catalyst for proton exchange membrane water electrolysis,Chemical Engineering Journal,2025,,517,164281,Elsevier,https://doi.org/10.1016/j.cej.2025.164281
article ,,"Yu, Ge; Li, Ruilong; Hu, Yanmin; Lin, Xingen; Lin, Ze; Wu, Dongyang; Hong, Xun",Supporting IrOx nanosheets on hollow TiO2 for highly efficient acidic water splitting,Nano Research,2024,17,,6903–6909,Springer,10.1007/s12274-024-6681-7
article ,,"Kang, Jiaqi; Wang, Xingli; Möhle, Sebastian; Farhoosh, Shima; Kovács, Miklós Márton; Schmidt, Johannes; Liang, Liang; Kroschel, Matthias; Selve, Sören; Haumann, Michael and others","Synthesis, Molecular Structure, and Water Electrolysis Performance of TiO2-Supported Raney-IrOx Nanoparticles for the Acidic Oxygen Evolution Reaction",ACS Catalysis,2025,15,7,5435–5446,ACS Publications,https://doi.org/10.1021/acscatal.4c06385
