entrytype,key,author,title,journal,year,volume,number,pages,publisher,doi,url
article,wang2023effect,"Wang, Tao and Zeng, Yuting and Xu, Mingyue and Zhang, Jian and Wu, Shengye and Mu, Shichun and Yu, Jun",Effect of B-doping and manifestation on TiO2-supported IrO2 for oxygen evolution reaction in water electrolysis,Langmuir,2023,39,11,4005--4014,ACS Publications,,
article,hu2014iro2,"Hu, Wei and Chen, Shengli and Xia, Qinghua",IrO2/Nb--TiO2 electrocatalyst for oxygen evolution reaction in acidic medium,international journal of hydrogen energy,2014,39,13,6967--6976,Elsevier,,
article,mazur2012non,Maz{\'u,Non-conductive TiO2 as the anode catalyst support for PEM water electrolysis,International Journal of Hydrogen Energy,2012,37,17,12081--12088,Elsevier,,
article,van2020iro2,"Van Pham, Chuyen and B{\",IrO2 coated TiO2 core-shell microparticles advance performance of low loading proton exchange membrane water electrolyzers,Applied Catalysis B: Environmental,2020,269,,118762,Elsevier,,
article,xie2023morphological,"Xie, Yuhua and Yang, Zehui",Morphological and coordination modulations in iridium electrocatalyst for robust and stable acidic OER catalysis,The Chemical Record,2023,23,10,e202300129,Wiley Online Library,,
